Sentence,Label,Vaderlabel
sentences,label,0.051571
So there is no way for me to plug it in here in the US unless I go by a converter.,0,-0.295958
"Good case, Excellent value.",1,0.840168
Great for the jawbone.,1,0.624893
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,-0.649920
The mic is great.,1,0.624893
I have to jiggle the plug to get it to line up right to get decent volume.,0,0.000000
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,0.510607
If you are Razr owner...you must have this!,1,0.000000
"Needless to say, I wasted my money.",0,-0.493915
What a waste of money and time!.,0,-0.475428
And the sound quality is great.,1,0.624893
He was very impressed when going from the original battery to the extended battery.,1,0.690091
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,0.000000
Very good quality though,1,0.440434
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,0.470563
Highly recommend for any one who has a blue tooth phone.,1,0.361158
I advise EVERYONE DO NOT BE FOOLED!,0,-0.561195
So Far So Good!.,1,0.492725
Works great!.,1,0.658960
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,0.000000
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,0.000000
I bought this to use with my Kindle Fire and absolutely loved it!,1,0.474196
The commercials are the most misleading.,0,-0.457562
I have yet to run this new battery below two bars and that's three days without charging.,1,0.000000
I bought it for my mother and she had a problem with the battery.,0,-0.401924
Great Pocket PC / phone combination.,1,0.624893
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,0.636950
I didn't think that the instructions provided were helpful to me.,0,0.421464
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,0.000000
Doesn't hold charge.,0,0.000000
"This is a simple little phone to use, but the breakage is unacceptible.",0,0.000000
This product is ideal for people like me whose ears are very sensitive.,1,0.709560
It is unusable in a moving car at freeway speed.,0,0.051571
I have two more years left in this contract and I hate this phone.,0,-0.571885
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,-0.044505
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,0.000000
It has kept up very well.,1,0.338445
Poor Talk Time Performance.,0,-0.476658
The case is great and works fine with the 680.,1,0.709560
worthless product.,0,-0.440434
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,0.927374
I was not impressed by this product.,0,-0.214601
Nice headset priced right.,1,0.421464
I only hear garbage for audio.,0,0.000000
Excellent bluetooth headset.,1,0.571885
It has all the features I want,1,0.077228
Who in their right mind is gonna buy this battery?.,0,0.000000
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,-0.458831
This case seems well made.,1,0.273213
Disappointed with battery.,0,-0.476658
Not loud enough and doesn't turn on like it should.,0,-0.275509
good protection and does not make phone too bulky.,1,0.440434
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,0.709560
This phone is pretty sturdy and I've never had any large problems with it.,1,-0.556111
I love this thing!,1,0.669739
Everything about it is fine and reasonable for the price i.e.,1,0.202289
VERY DISAPPOINTED.,0,-0.476658
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,0.658960
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,0.739209
The buttons for on and off are bad.,0,-0.542326
Essentially you can forget Microsoft's tech support.,0,0.202289
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,0.896956
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,0.822463
Buy a different phone - but not this.,0,0.000000
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,0.659728
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,0.000000
"A week later after I activated it, it suddenly died.",0,-0.557370
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,0.556335
Great for iPODs too.,1,0.624893
This device is great in several situations:1.),1,0.624893
Mic Doesn't work.,0,0.000000
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,-0.401924
Great choice!,1,0.658960
Nice docking station for home or work.,1,0.421464
This is a beautiful phone.,1,0.599373
Love this product.,1,0.636950
Do Not Buy for D807...wrongly advertised for D807.,0,0.000000
This is a great little item.,1,0.624893
"I love this phone , It is very handy and has a lot of features .",1,0.636950
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,-0.522280
I wear it everyday and it holds up very well.,1,0.338445
Not a good bargain.,0,0.571885
"Well packaged, arrived on time, and works as intended.",1,0.273213
The battery runs down quickly.,0,0.000000
"This item worked great, but it broke after 6 months of use.",0,-0.284646
The headsets are easy to use and everyone loves them.,1,0.764969
This phone works great.,1,0.624893
The construction of the headsets is poor.,0,-0.476658
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,0.784096
The phone loads super!,1,0.636121
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,0.784527
Made very sturdy.,1,0.000000
Worked great!.,1,0.658960
The ear buds only play music in one ear.,0,0.339950
Dont waste your money...,0,-0.421464
Will order from them again!,1,0.000000
If you plan to use this in a car forget about it.,0,-0.226348
I found this product to be waaay too big.,0,0.000000
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,0.918559
I'm very disappointed with my decision.,0,-0.525630
Integrated seamlessly with the Motorola RAZR phone.,1,0.000000
"Buyer Beware, you could flush money right down the toilet.",0,0.000000
Definitely a bargain.,1,0.542326
The price was very good and with the free shipping and all it was a good purchase.,1,0.855290
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,0.000000
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,0.784096
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,0.180778
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,0.953783
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,0.796389
I purcashed this for the car charger and it does not work.,0,0.000000
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,0.611478
This phone is slim and light and the display is beautiful.,1,0.599373
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,-0.039602
"Great product, fast shipping!.",1,0.658960
Absolutely great.,1,0.624893
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,0.476658
i got this phone around the end of may and i'm completely unhappy with it.,0,-0.475428
It is very comfortable on the ear.,1,0.556335
It has been a winner for us.,1,0.585882
)Setup couldn't have been simpler.,1,0.000000
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,0.421464
Could not get strong enough signal.,0,0.309255
Iam very pleased with my purchase.,1,0.492725
Bad Quality.,0,-0.542326
Gets the job done.,1,0.000000
Great audio!.,1,0.658960
Basically the service was very bad.,0,-0.584919
it did not work in my cell phone plug i am very up set with the charger!.,0,0.000000
"I've only had my bluetooth for a few weeks, but I really like it.",1,0.570386
The BT headset was such a disapoinment.,0,0.000000
It is so small and you don't even realize that it is there after a while of getting used to it.,1,0.000000
The accompanied software is almost brilliant.,1,0.543397
Headset works great & was packaged nicely to avoid any damage.,1,0.381819
!I definitly recommend!!,1,0.523399
Buyer--Be Very Careful!!!!!.,0,0.416050
The majority of the Logitech earbud headsets failed.,0,-0.510607
Very good stuff for the price.,1,0.440434
My headset works just peachy-keen.,1,0.000000
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,-0.295958
Voice recognition is tremendous!,1,0.000000
What a waste.,0,-0.421464
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,0.000000
I was not happy with this item.,0,-0.271857
very disappointed.,0,-0.525630
The phone takes FOREVER to charge like 2 to 5 hours literally.,0,0.361158
I got this phone on reccomendation from a relative and I'm glad I did.,1,0.458831
What a waste of time!,0,-0.475428
Its reception is very very poor.,0,-0.567780
Items stated as included from the description ARE NOT INCLUDED.,0,0.000000
"After 3 months, screen just went black all of a sudden.",0,0.000000
I Was Hoping for More.,0,0.421464
"Audio Quality is poor, very poor.",0,-0.757434
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,0.480564
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,0.654562
I've bought $5 wired headphones that sound better than these.,0,0.440434
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,0.000000
"Nice quality build, unlike some cheap s*** out there.",1,0.421464
This item is fantastic and works perfectly!,1,0.843936
And I just love the colors!,1,0.669739
W810i is just SUPERB.,1,0.703428
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,-0.071685
Great charger.,1,0.624893
This is essentially a communications tool that does not communicate.,0,0.000000
Works like a charm; it work the same as the one I got with the phone.,1,0.636950
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,-0.124576
Great Value.,1,0.757937
Doesn't work at all.. I bougth it for my L7c and its not working.,0,0.000000
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,0.859064
doesn't last long.,0,0.000000
One thing I hate is the mode set button at the side.,0,-0.571885
EXCELLENT SERVICE!!!!!!!!.,1,0.707017
Thank you for wasting my money.,0,-0.051571
How can that be?The audio quality is poor.,0,-0.476658
The iGo chargers and tips are really great.,1,0.658960
The file browser offers all the options that one needs.Handsfree is great.,1,0.624893
Superb Phone on a Great Network.,1,0.848122
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,0.636950
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,0.421464
It only recognizes the Phone as its storage device.,0,0.000000
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,0.420114
Don't buy this product.,0,0.000000
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,-0.233966
The sound quality is good and functionality is awesome.,1,0.790569
"I have this phone and it is a thorn in my side, I really abhor it.",0,-0.509457
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,0.175120
Incredible!.,1,0.000000
Design Flaw?.,0,0.000000
Great phone!.,1,0.658960
Waste of 13 bucks.,0,-0.421464
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,-0.318211
The replacement died in a few weeks.,0,-0.557370
Any ring tone..Overall good phone to buy..,1,0.440434
Lately they have been extremely nice and helpful on the phone.,1,0.731635
I have had problems wit hit dropping signal and more.,0,-0.401924
Not impressed.,0,0.476658
"Light weight, I hardly notice it is there.",1,0.000000
You'll love how thin it is.,1,0.636950
Bad Choice.,0,-0.542326
The pleather case doesn't fit.,0,-0.155045
"useless phone, simply deaf.",0,-0.421464
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,0.476658
All in all I think it was a good investment.,1,0.440434
It makes very strange ticking noises before it ends the call.,0,-0.271603
The best electronics of the available FM Transmitters.,1,0.636950
Battery lasts only a few hours.,0,0.000000
"great headset, very impressed - H500.",1,0.817278
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,0.000000
I've had this for nearly 2 years and it has worked great for me.,1,0.624893
Good transmit audio.,1,0.440434
We are sending it back.,0,0.000000
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,0.073044
"If you hate earbugs, avoid this phone by all means.",0,-0.709560
Great price also!,1,0.658960
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,-0.295958
fast service.,1,0.000000
I would highly recommend this.,1,0.420114
I would recommend this.,1,0.361158
"I also didn't like the ""on"" button, it felt like it would crack with use.",0,0.224477
WORST PHONE EVER.,0,-0.624893
I'm still infatuated with this phone.,1,0.051571
Freezes frequently4.,0,-0.025811
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,-0.636950
"Simple, lightweight and great fit.",1,0.764969
"All in all, I'd expected a better consumer experience from Motorola.",0,0.440434
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,-0.333267
These are certainly very comfortable and functionality is decent.,1,0.717812
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,0.226478
I'm a bit disappointed.,0,-0.476658
"I have had this phone for over a year now, and I will tell you, its not that great.",0,0.401440
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,0.000000
The battery is completely useless to me.,0,-0.475428
What a big waste of time.,0,-0.421464
Don't waste your $$$ on this one.,0,0.325224
Great sound and service.,1,0.624893
Really pleased with this product so far.,1,0.440434
One of my favorite purchases ever.,1,0.458831
best bluetooth on the market.,1,0.636950
Authentic leather with nice shine and comfort .I recommend you this case !!,1,0.811887
I was very excited to get this headset because I thought it was really cute.,1,0.717201
Do not make the same mistake as me.,0,-0.339950
Big Disappointment with calendar sync.,0,-0.510607
the phone was unusable and was not new.,0,0.000000
Worst Customer Service Ever.,0,-0.624893
"No additional ear gels provided, and no instructions whatsoever.",0,-0.526742
It defeats the purpose of a bluetooth headset.,0,-0.318211
Worth every penny.,1,0.226348
Excellent wallet type phone case.,1,0.571885
Nice headphones for the price and they work great!,1,0.801610
Internet is excrutiatingly slow.,0,0.000000
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,0.777356
"It's fits like a glove and is strong, secure, and durable.",1,0.801996
O my gosh the best phone I have ever had.,1,0.636950
It's very attractive and appears to be of good quality.,1,0.726360
I love all the features and form factor.,1,0.636950
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,0.510607
poor quality and service.,0,-0.476658
"The cable looks so thin and flimsy, it is scary.",0,-0.493915
Great Earpiece.,1,0.624893
Excellent hands free tool.,1,0.790569
Great for using with your home stereo.,1,0.624893
Good product - incredible value.,1,0.680111
Only had this a month but it's worked flawlessly so far.,1,0.295958
Works great.,1,0.624893
Absolutel junk.,0,0.000000
THAT one didn't work either.,0,0.000000
Battery life is real good.,1,0.440434
Returned 8 hours later.,0,0.000000
It's a great item.,1,0.624893
Don't waste your money!.,0,0.386898
Love this headset!,1,0.669739
"Not only will it drain your player, but may also potentially fry it.",0,0.000000
Worked perfectly!,1,0.669739
Unreliable - I'm giving up.,0,0.339950
I gave it 5 stars because of the sound quality.,1,0.000000
Avoid this one if you can.,0,-0.295958
Reversible plug works great.,1,0.624893
I wasted my little money with this earpiece.,0,-0.493915
Very good phone.,1,0.440434
"Best of all is the rotating feature, very helpful.",1,0.807026
Comfort for our whole family.,1,0.361158
"Good product, good seller.",1,0.700349
I love this bluetooth!,1,0.669739
"First of all, it doesn't wear well.",0,0.153681
I am very impressed with this headset from Plantronics.,1,0.525630
I got it because it was so small and adorable.,1,0.536732
Great phone!.,1,0.658960
I wouldn't recommend buying this product.,0,0.207470
Piece of Junk.,0,0.000000
Poorly contstruct hinge.,0,0.000000
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,0.815538
Great Phone.,1,0.624893
Don't buy it.,0,0.000000
Excellent Phone.,1,0.571885
DO NOT PURCHASE THIS PHONE.,0,0.000000
The voice recognition thru the handset is excellent.,1,0.571885
This is hands down the best phone I've ever had.,1,0.636950
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,-0.361158
This one works and was priced right.,1,0.000000
Customer service was terrible.,0,-0.476658
Battery life still not long enough in Motorola Razor V3i.,0,0.000000
Sending it back.,0,0.000000
Now I know that I made a wise decision.,1,0.476658
Someone shouldve invented this sooner.,1,0.000000
Good price.,1,0.440434
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,0.807398
I received it quickly and it works great!!,1,0.689404
Has been working great.,1,0.624893
"As many people complained, I found this headset's microphone was very weak.",0,-0.708927
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,0.440434
They do not care about the consumer one bit.,0,-0.224317
"This is a good battery, and it got here really fast.",1,0.440434
The instruction manual is lacking.,0,0.000000
Also its slim enough to fit into my alarm clock docking station without removing the case.,1,-0.334451
Phone now holds charge like it did when it was new.,1,0.361158
The battery is unreliable as well as the service use antena.,0,0.273213
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,-0.717812
We have gotten a lot of compliments on it.,1,0.401924
This is definitely a must have if your state does not allow cell phone usage while driving.,1,0.144659
I want my money back.,0,0.077228
I love this device.,1,0.636950
I am also very happy with the price.,1,0.611478
I ordered this product first and was unhappy with it immediately.,0,-0.421464
The Ngage is still lacking in earbuds.,0,0.000000
I was able to do voice dialing in the car with no problem.,1,0.308926
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,0.000000
"good item, low price.",1,0.202289
"However-the riingtones are not the best, and neither are the games.",0,-0.317488
The plug did not work very well.,0,-0.257202
AMAZON SUCKS.,0,-0.202289
Rip off---- Over charge shipping.,0,0.000000
VERY comfortable.,1,0.510607
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,0.526742
The reception is excellent!,1,0.611478
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,0.659728
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,-0.074879
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,0.000000
Obviously there is a problem with the adhesive.,0,-0.401924
Very disappointing.,0,-0.493915
"It was an inexpensive piece, but I would still have expected better quality.",0,0.592690
It is practically useless and did not add any kind of boost to my reception after I bought it.,0,0.531381
Excellent sound quality.,1,0.571885
Was not happy.,0,0.356648
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,-0.568880
New Battery works great in phone.,1,0.624893
Worst customer service.,0,-0.624893
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,0.658960
Reception is terrible and full of static.,0,-0.476658
Good audio quality.,1,0.440434
