Sentence,Label,Vaderlabel
This little device has transformed my organizational capability and made my life a whole lot easier.,1,0.421464
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,-0.318211
Were JERKS on the phone.,0,-0.427787
Works like a charm.. Works as advertised.,1,0.636950
"Comfortable, Nice Range, Good Battery Life.",1,0.840168
Their network coverage in Los Angeles is horrible.,0,-0.542326
Excellent starter wireless headset.,0,0.571885
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,0.624893
The only thing that I think could improve is the sound leaks out from the headset.,0,0.440434
"First off the reception sucks, I have never had more than 2 bars, ever.",0,0.155045
The phone gets EXTREMELY HOT!,0,0.000000
"The microphone also works well, but (according to people I have called) it applifies everything.",1,0.140599
Nice design and quality.,1,0.421464
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,-0.387505
"It is light, easy to use, and has very clear reception and transmission.",1,0.699691
"bad fit, way too big.",0,-0.250000
It definitely was not as good as my S11.,1,-0.056085
awesome device.,1,0.624893
Waste of money.,0,-0.421464
"I had ordered a motorola data cable, got a very well finished and working product.",1,0.338445
Love This Phone.,1,0.636950
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,0.321338
"I'll be drivng along, and my headset starts ringing for no reason.",0,-0.295958
Display is excellent and camera is as good as any from that year.,1,0.764969
Battery life is also great!,1,0.658960
The worst phone I've ever had.... Only had it for a few months.,0,-0.624893
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0,0.051571
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0,-0.526742
Protects the phone on all sides.,1,0.318211
This is a VERY average phone with bad battery life that operates on a weak network.,0,-0.750630
"Clear Skype Calls, Long Battery Life, Long Range.",1,0.381819
Soyo technology sucks.,0,-0.361158
Great Hands Free Device.,1,0.812605
"you can even take self portraits with the outside (exterior) display, very cool.",1,0.380391
Same problem as others have mentioned.,0,-0.401924
After trying many many handsfree gadgets this is the one that finally works well.,1,0.273213
Magical Help.,1,0.401924
The worst piece of crap ever along with the Verizon customer service.,0,-0.771737
Poor sound quality.,0,-0.476658
The best phone in market :).,1,0.636950
It worked very well.,1,0.338445
The company shipped my product very promptly and it works well.,1,0.273213
Exactly what I wanted.,1,0.000000
The picture resolution is far below what other comparably-priced phones are offering today.,0,0.000000
This is a great deal.,1,0.624893
"Excellent product, I am very satisfied with the purchase.",1,0.777805
I highly recommend these and encourage people to give them a try.,1,0.749585
Better than you'd expect.,1,0.440434
"Using all earpieces, left or right, this thing will not stay on my ear.",0,0.000000
Great product and price.,1,0.624893
"Sounds good reasonably priced and effective, Its that simple !",1,0.742495
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0,0.570886
what a disappointment,0,-0.510607
Very prompt service.,1,0.000000
Excellent product for the price.,1,0.571885
Very pleased with this headset.,1,0.440434
don't waste your money and time.,0,0.325224
I especially love the long battery life.,1,0.669739
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,-0.570886
Works great.,1,0.624893
Plantronics Bluetooth Excelent Buy.,1,0.000000
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0,-0.224677
I'll be looking for a new earpiece.,0,0.000000
I highly recommend this device to everyone!,1,0.474196
Jawbone Era is awesome too!,1,0.658960
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0,-0.250000
After a year the battery went completely dead on my headset.,0,-0.680111
"I have used several phone in two years, but this one is the best.",1,0.778253
An Awesome New Look For Fall 2000!.,1,0.658960
This is the first phone I've had that has been so cheaply made.,0,0.000000
"Att is not clear, sound is very distorted and you have to yell when you talk.",0,-0.563437
The plastic breaks really easy on this clip.,0,0.492725
Price is good too.,1,0.440434
Don't make the same mistake I did.,0,-0.339950
Oh and I forgot to also mention the weird color effect it has on your phone.,0,-0.177858
I'm using it with an iriver SPINN (with case) and it fits fine.,1,0.202289
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0,0.415631
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,0.624893
"every thing on phone work perfectly, she like it.",1,0.771737
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,0.000000
IT'S REALLY EASY.,1,0.440434
My Sanyo has survived dozens of drops on blacktop without ill effect.,1,-0.052243
Fantastic earphones.,1,0.557370
It finds my cell phone right away when I enter the car.,1,0.000000
Low Quality.,0,-0.273213
I highly recommend this modest priced cellular phone.,1,0.420114
But it does get better reception and clarity than any phone I've had before.,1,0.680823
Warning - Stay away.,0,-0.339950
I wish I could return the unit and get back my money.,0,0.401924
Awsome Device Works Great!!.,1,0.689404
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0,-0.361158
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0,0.104060
Very Displeased.,0,-0.440434
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0,-0.140028
They made this case too small and is very difficult to install.,0,-0.420114
Restored my phone to like new performance.,1,0.599373
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1,0.510607
"I searched the Internet, and found this one to be the best value.",1,0.764969
Does not fit.,0,0.207470
Very happy with this product.,1,0.571885
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1,0.700349
There's really nothing bad I can say about this headset.,0,0.288162
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,-0.455689
Portable and it works.,1,0.000000
"My colleague & I now get great reception.A little expensive, but performance is great.",1,0.848122
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0,-0.271603
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0,-0.401924
Not good when wearing a hat or sunglasses.,0,0.440434
Timely shipment and quality product.,1,0.000000
Nice solid keyboard.,1,0.526742
Very well made and fits my Surefire GX2 perfectly.,1,0.807398
Horrible phone.,0,-0.542326
BT50 battery junk!.,0,0.000000
We would recommend these to others.,1,0.361158
Cant get the software to work with my computer.,0,0.000000
Disappointed!.,0,-0.525630
poor voice clarity.,0,-0.102733
The battery works great!,1,0.658960
No buyers remorse on this one!.,0,-0.172683
Very disappointed in AccessoryOne.,0,-0.476658
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0,0.000000
"Looks great and is strong.""",1,0.812605
"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1,0.784527
The update procedure is difficult and cumbersome.,0,-0.361158
Disappointment.. I hate anything that goes in my ear.,0,-0.790569
Great software for Motorolas.,1,0.624893
The delivery was on time.,1,0.000000
Very easy to use.,1,0.440434
"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0,-0.381819
The volume switch rocketed out of the unit to a destination unknown.,0,0.000000
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1,0.510607
I'd like to return it.,0,0.361158
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1,0.345135
"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0,-0.502331
"After charging overnight, these batteries work great.",1,0.624893
You won't regret it!,1,-0.313509
I love this phone!.,1,0.669739
A Disappointment.,0,-0.510607
Its not user friendly.,0,0.297020
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0,0.153093
"Then I exchanged for the same phone, even that had the same problem.",0,-0.401924
This results in the phone being either stuck at max volume or mute.,0,-0.250000
This PDA rocks.,1,0.000000
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1,0.764969
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1,0.929917
I had Verizon 2 years ago and really liked their service.,1,0.475428
Pretty piece of junk.,0,0.493915
Plug was the wrong size.,0,-0.476658
Works as described.,1,0.000000
Save your money.... I've had this item for 11 months now.,0,0.493915
Bad Purchase.,0,-0.542326
WELL IM SATISFIED.,1,0.599373
"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1,0.624032
This battery is an excellent bargain!,1,0.699691
Defective crap.,0,-0.670478
I would have given no star if I was able.,0,-0.295958
I wear glasses and it fits fine with them.,1,0.202289
"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0,0.000000
I would not recommend this item to anyone.,0,-0.155045
The holster that arrived did not match the photo in the ad.,0,0.000000
great...no problems at all!.,1,-0.457562
"As an earlier review noted, plug in this charger and nothing happens.",0,0.000000
This frog phone charm is adorable and very eye catching.,1,0.709560
You never know if you pushed it hard enough or the right number of times for the function you want or not.,0,-0.020921
The sound is clear and the people I talk to on it are amazed at the quality too.,1,0.700349
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1,0.810737
"very good product, well made.",1,0.676392
Mobile Phone Tools are a must have.,1,0.000000
I am very impressed with the job that Motorola did on the sturdiness of this phone.,1,0.525630
"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1,0.771272
The phone is sturdy and waterproof.,1,0.000000
I am not impressed with this and i would not recommend this item to anyone.,0,-0.352487
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0,-0.460098
Thanks again to Amazon for having the things I need for a good price!,1,0.777805
I ended up sliding it on the edge of my pants or back pockets instead.,1,0.000000
I had to go to a store and bought a new NOKIA phone which is working great.,1,0.624893
Works great!.,1,0.658960
REALLY UGLY.,0,-0.510607
"horrible, had to switch 3 times.",0,-0.542326
The noise shield is incrediable.,1,0.000000
No real improvement.,0,-0.569024
Razr Battery - Good buy.,1,0.440434
Keep up the good work Amazon!!,1,0.635289
They refuse to refund or replace.,0,-0.295958
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0,-0.510607
So I basically threw my money out the window for nothing.,0,0.000000
Great case and price!,1,0.658960
All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0,-0.317488
"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",1,-0.194979
"Small, sleek, impressive looking, practical setup with ample storage in place.",1,0.510607
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1,0.612372
none of the new ones have ever quite worked properly.,0,0.000000
I am glad I purchased it.,1,0.458831
I've missed numerous calls because of this reason.,0,-0.295958
"Perhaps my phone is defective, but people cannot hear me when I use this.",0,0.098910
Don't buy this product.,0,0.000000
"sucked, most of the stuff does not work with my phone.",0,-0.458831
"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1,-0.686510
Worst software ever used.... If I could give this zero stars I would.,0,-0.624893
Trying to make a call on these is an exercise in frustration.,0,-0.476658
The case is a flimsy piece of plastic and has no front or side protection whatsoever.,0,-0.295958
"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1,0.861999
"I love the camera, it's really pretty good quality.",1,0.897267
Thank you for such great service.,1,0.764969
Its a total package.,1,0.000000
"The seller is very understanding and patient, I would definitely buy from them again.",1,0.401924
I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,0,0.000000
It's AGGRAVATING!,0,-0.498309
Great product for the price!.,1,0.658960
"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1,0.888523
Virgin Wireless rocks and so does this cheap little phone!,1,0.000000
"None of it works, just don't buy it.",0,0.000000
"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0,0.421464
Please dont waste your money.,0,0.562072
"All in all, I'm quite satisfied with this purchase.",1,0.475428
"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",0,-0.194979
Yet Plantronincs continues to use the same flawed charger design.,0,0.000000
Disapointing Results.,0,0.000000
Cumbersome design.,0,0.000000
"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1,0.922111
Great Product.,1,0.624893
It's A PIECE OF CRAP!,0,-0.561195
"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",0,-0.679398
This fixes all the problems.,1,-0.401924
Worst ever.,0,-0.624893
I am very happy,1,0.611478
"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1,0.308926
"I can barely ever hear on it and am constantly saying ""what?""",0,0.000000
The battery life is highly unacceptable.,0,-0.509457
That company is a joke.,0,0.295958
It does everything the description said it would.,1,0.000000
Due to this happening on every call I was forced to stop using this headset.,0,-0.636950
"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1,0.401440
"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",0,0.135813
"Voice Quality, Signal Strength, Dropped Calls.",0,0.493915
"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",1,-0.022654
Better than expected.,1,0.440434
"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0,-0.612372
Battery is holding up well.,1,0.273213
Also difficult to put on.I'd recommend avoiding this product.,0,-0.339950
"I only used it two days, and it wasn't always easy to hear with.",0,0.259442
I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0,0.000000
Sprint - terrible customer service.,0,-0.476658
Linked to my phone without effort.,1,0.000000
THey are so cool!,1,0.437812
Easy to use.,1,0.440434
Better Than New.,1,0.440434
"What possesed me to get this junk, I have no idea...",0,-0.295958
Piece of trash.,0,0.000000
A pretty good product.,1,0.726946
This is a great phone!.,1,0.658960
"For the price on Amazon, it is an excellent product, which I would highly recommend.",1,0.801610
Their Research and Development division obviously knows what they're doing.,1,0.000000
"The real killer is the volume, and of course it breaking.",0,-0.648557
Those phones are working just fine now.,1,0.202289
I am more than happy with this product.,1,0.609599
Poor Construction.,0,-0.476658
This is infuriating.,0,-0.526742
"Overall, I would recommend this phone over the new Walkman.",1,0.361158
Sprint charges for this service.,0,-0.273213
"It is cheap, and it feel and look just as cheap.",0,0.000000
It fits my ear well and is comfortable on.,1,0.659728
It doesn't work in Europe or Asia.,0,0.000000
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1,0.361158
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1,-0.266176
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1,0.670478
the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0,-0.915277
the charger worked for about a week and then completely stopped charging my phone.,0,-0.294382
Poor product.,0,-0.476658
However I needed some better instructions.,0,0.440434
You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0,0.000000
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1,0.338445
"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",0,0.381819
DO NOT BUY DO NOT BUYIT SUCKS,0,-0.361158
This is a great product..... sure beats using your fingers!.,1,0.771272
"Plus, I seriously do not believe it is worth its steep price point.",0,0.132235
All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,1,0.000000
Very Dissapointing Performance.,0,0.000000
Don't make the same mistake that I did and please don't buy this phone.,0,0.010462
This phone might well be the worst I've ever had in any brand.,0,-0.458831
Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,0,-0.476658
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1,0.361158
Don't bother - go to the store.,0,0.258409
"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",1,0.605022
I did not have any problem with this item and would order it again if needed.,1,0.308926
You get what you pay for I guess.,0,-0.102733
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1,-0.308525
im surprised this is a good quality car charger and there's not much reviews about it.,1,-0.347631
These are fabulous!,1,0.570886
"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0,-0.145586
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1,0.790569
Disappointing accessory from a good manufacturer.,0,-0.077228
"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0,-0.680823
Very wind-resistant.,1,0.000000
"Obviously they have a terrible customer service, so you get what you pay for.",0,-0.542326
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1,0.592690
"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",0,0.612372
Linksys should have some way to exchange a bad phone for a refurb unit or something!,0,-0.584919
Phone is sturdy as all nokia bar phones are.,1,0.000000
Great phone.,1,0.624893
"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",0,0.000000
I'm pleased.,1,0.440434
Battery is terrible.,0,-0.476658
I found the product to be easy to set up and use.,1,0.440434
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,0,-0.153093
Utter crap.. Sound quality is TERRIBLE.,0,-0.753072
"The charger arrived within the promised timeframe, but it did not work.",0,-0.078231
"No ear loop needed, it's tiny and the sound is great.",1,0.440434
"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",0,0.185077
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",1,0.102733
Talk about USELESS customer service.,0,-0.547350
"It felt too light and ""tinny."".",0,0.000000
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,0,-0.527982
I'm happy about this purchase- good quality and low price.,1,0.670478
I love the look and feel of Samsung flipphones.,1,0.636950
Its well-designed and very sharp -- the blue is a very nice color.,1,0.475428
Does everything it should and more.,1,0.000000
I could not recommend these more.,0,-0.155045
Nice Sound.,1,0.421464
"Looks good in the picture, but this case was a huge disappointment!!",0,-0.281456
